,Parameter,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual Mean/Total
0,Global Solar Radiation,1981,7.75,11.2,15.57,18.91,22.75,20.09,23.16,22.98,19.22,14.06,9.39,7.03,17.78
1,Global Solar Radiation,1982,7.75,11.2,15.57,18.91,22.75,20.09,23.16,22.98,19.22,14.06,9.39,7.03,17.78
2,Global Solar Radiation,1983,7.75,11.2,15.57,18.91,22.75,20.09,23.16,22.98,19.22,14.06,9.39,7.03,17.78
3,Global Solar Radiation,1984,7.33,12.8,14.45,17.13,22.75,26.93,25.72,23.95,19.44,13.31,8.7,7.32,16.66
4,Global Solar Radiation,1985,7.68,8.5,15.0,18.89,21.23,27.77,24.95,25.27,19.97,12.32,7.74,7.06,16.41
5,Global Solar Radiation,1986,8.64,10.84,16.44,20.11,20.11,24.17,27.43,25.59,19.01,13.31,9.49,7.34,16.91
6,Global Solar Radiation,1987,6.98,11.6,15.57,19.15,21.53,25.74,27.97,25.16,19.95,11.89,8.51,6.31,16.72
7,Global Solar Radiation,1988,8.36,10.56,15.15,18.01,23.15,25.34,26.41,25.41,18.77,11.24,7.89,6.78,16.44
8,Global Solar Radiation,1989,9.49,11.95,15.33,20.16,23.91,26.38,27.48,25.54,20.52,12.45,8.49,7.75,17.48
9,Global Solar Radiation,1990,8.1,10.36,17.45,18.84,20.74,25.13,26.31,25.38,19.66,13.5,9.3,7.21,16.87
10,Global Solar Radiation,1991,7.5,11.09,14.39,17.78,20.8,25.21,27.57,25.25,20.69,12.94,9.05,6.94,16.63
11,Global Solar Radiation,1992,8.84,12.65,16.14,21.42,20.6,24.8,26.75,25.65,21.68,13.5,8.71,7.49,17.36
12,Global Solar Radiation,1993,8.1,11.72,16.72,18.91,21.63,25.17,27.67,24.76,19.42,14.48,9.77,7.81,17.21
13,Global Solar Radiation,1994,8.35,10.91,15.47,19.83,24.79,25.62,27.83,25.02,20.62,13.55,8.25,7.26,17.33
14,Global Solar Radiation,1995,7.44,12.13,15.32,17.43,22.82,25.46,26.14,24.89,20.79,14.05,9.11,7.03,16.91
15,Global Solar Radiation,1996,7.57,11.23,12.88,18.55,24.81,26.71,26.45,25.38,19.76,12.39,10.32,5.88,16.84
16,Global Solar Radiation,1997,9.14,11.74,16.11,18.95,25.86,26.3,28.26,25.21,20.59,13.63,10.84,6.36,17.78
17,Global Solar Radiation,1998,7.4,12.23,15.88,20.44,24.97,25.6,28.69,25.21,21.95,14.81,10.02,6.5,17.84
18,Global Solar Radiation,1999,8.98,12.02,16.8,22.28,27.86,26.2,28.37,24.75,21.61,14.9,9.33,8.3,18.49
