Tarih,2m Bağıl Nem (%),2m Hava Sıcaklığı (C),2m Rüzgâr Hızı (m/s),Küresel Güneş Radyasyonu (MJ/m2/gün),Toplam Yağış Miktarı (mm)
1981-01,82.24,1.32,3.5,7.75,174.17
1981-02,83.43,1.11,2.46,11.2,88.69
1981-03,76.62,5.94,2.54,15.57,24.21
1981-04,66.2,8.7,2.03,18.91,26.42
1981-05,61.53,12.27,2.15,22.75,26.41
1981-06,52.47,19.13,2.0,20.09,37.54
1981-07,41.12,22.38,2.27,23.16,6.83
1981-08,37.1,21.57,2.4,22.98,7.08
1981-09,31.95,19.63,1.89,19.22,1.79
1981-10,39.89,15.35,1.73,14.06,11.73
1981-11,68.8,3.88,2.56,9.39,46.89
1981-12,80.41,4.36,3.24,7.03,121.38
1982-01,82.72,0.91,2.25,7.75,125.68
1982-02,77.98,-0.99,2.06,11.2,51.01
1982-03,76.13,2.27,2.47,15.57,43.82
1982-04,71.41,9.64,2.63,18.91,25.4
1982-05,60.96,14.05,1.87,22.75,39.47
1982-06,54.3,18.1,1.79,20.09,17.32
1982-07,46.17,19.86,2.31,23.16,14.03
1982-08,37.88,20.96,2.25,22.98,9.16
1982-09,39.98,18.67,1.87,19.22,1.89
1982-10,58.13,12.05,1.94,14.06,40.13
1982-11,69.22,3.6,2.38,9.39,21.47
1982-12,74.44,1.29,2.34,7.03,76.83
1983-01,80.82,-2.63,2.28,7.75,79.52
1983-02,79.6,-0.72,2.62,11.2,72.92
1983-03,77.76,3.68,2.24,15.57,75.22
1983-04,68.32,9.58,2.16,18.91,32.32
1983-05,60.6,14.38,1.9,22.75,37.09
1983-06,52.67,17.76,1.89,20.09,18.64
1983-07,41.75,21.61,2.53,23.16,0.44
1983-08,37.55,20.57,2.23,22.98,4.91
1983-09,33.81,18.35,1.86,19.22,3.75
1983-10,58.2,11.24,2.03,14.06,28.36
1983-11,74.35,7.56,2.38,9.39,84.13
1983-12,79.35,2.97,1.9,7.03,46.28
1984-01,84.14,1.94,2.25,7.33,90.4
1984-02,74.28,3.39,2.16,12.8,46.27
1984-03,73.09,5.36,2.78,14.45,32.37
1984-04,70.11,8.11,2.52,17.13,67.66
1984-05,55.73,15.28,1.97,22.75,12.03
1984-06,46.14,18.86,2.32,26.93,4.22
1984-07,36.79,21.62,2.78,25.72,2.04
1984-08,38.73,19.35,2.44,23.95,9.61
1984-09,30.22,19.8,1.68,19.44,0.05
1984-10,34.76,14.06,1.67,13.31,0.88
1984-11,75.84,5.82,1.91,8.7,94.85
1984-12,78.37,-0.15,1.45,7.32,39.68
1985-01,82.98,2.35,2.54,7.68,101.63
1985-02,79.93,-2.53,3.43,8.5,51.73
1985-03,70.46,4.2,2.11,15.0,52.24
1985-04,65.72,10.34,2.25,18.89,27.81
1985-05,58.56,15.89,2.03,21.23,36.2
1985-06,45.6,19.4,1.97,27.77,8.72
1985-07,35.69,20.18,2.65,24.95,2.27
1985-08,28.77,24.06,2.0,25.27,0.12
1985-09,32.69,18.26,1.91,19.97,3.03
1985-10,58.47,9.97,1.97,12.32,79.41
1985-11,70.11,8.7,2.14,7.74,80.45
1985-12,79.79,1.63,1.93,7.06,35.37
1986-01,80.52,1.28,2.63,8.64,73.35
1986-02,81.74,2.27,2.45,10.84,63.14
1986-03,68.93,6.25,1.55,16.44,12.92
1986-04,59.25,11.82,1.99,20.11,18.9
1986-05,64.9,11.62,1.76,20.11,50.03
1986-06,50.82,18.47,1.97,24.17,10.16
1986-07,32.38,23.44,2.12,27.43,0.01
1986-08,28.91,24.64,2.04,25.59,0.14
1986-09,40.09,20.51,1.96,19.01,11.59
1986-10,53.36,12.95,2.01,13.31,22.48
1986-11,71.25,3.79,1.72,9.49,42.91
1986-12,75.89,1.2,2.43,7.34,74.84
1987-01,77.86,1.99,2.99,6.98,81.22
1987-02,72.01,3.45,2.27,11.6,28.92
1987-03,75.46,0.64,2.6,15.57,107.1
1987-04,66.4,7.93,2.69,19.15,30.83
1987-05,54.82,14.93,2.0,21.53,19.52
1987-06,49.68,18.88,2.19,25.74,14.71
1987-07,41.55,22.52,2.35,27.97,24.75
1987-08,33.66,22.14,2.26,25.16,9.36
1987-09,29.38,19.35,2.05,19.95,0.02
1987-10,54.22,11.7,1.99,11.89,27.39
1987-11,68.54,6.16,2.01,8.51,72.11
1987-12,81.76,1.27,2.11,6.31,92.87
1988-01,78.97,0.59,1.9,8.36,27.75
1988-02,78.66,1.25,2.42,10.56,67.7
1988-03,75.72,3.26,2.72,15.15,79.3
1988-04,67.3,9.86,1.84,18.01,48.36
1988-05,57.38,14.96,1.83,23.15,50.22
1988-06,55.51,18.56,1.96,25.34,30.79
