Parameter,Year,Annual Mean/Total,Month_Name,Value,Month_Number,Date
Global Solar Radiation,1981,17.78,January,7.75,1,1981-01
Global Solar Radiation,1982,17.78,January,7.75,1,1982-01
Global Solar Radiation,1983,17.78,January,7.75,1,1983-01
Global Solar Radiation,1984,16.66,January,7.33,1,1984-01
Global Solar Radiation,1985,16.41,January,7.68,1,1985-01
Global Solar Radiation,1986,16.91,January,8.64,1,1986-01
Global Solar Radiation,1987,16.72,January,6.98,1,1987-01
Global Solar Radiation,1988,16.44,January,8.36,1,1988-01
Global Solar Radiation,1989,17.48,January,9.49,1,1989-01
Global Solar Radiation,1990,16.87,January,8.1,1,1990-01
Global Solar Radiation,1991,16.63,January,7.5,1,1991-01
Global Solar Radiation,1992,17.36,January,8.84,1,1992-01
Global Solar Radiation,1993,17.21,January,8.1,1,1993-01
Global Solar Radiation,1994,17.33,January,8.35,1,1994-01
Global Solar Radiation,1995,16.91,January,7.44,1,1995-01
Global Solar Radiation,1996,16.84,January,7.57,1,1996-01
Global Solar Radiation,1997,17.78,January,9.14,1,1997-01
Global Solar Radiation,1998,17.84,January,7.4,1,1998-01
Global Solar Radiation,1999,18.49,January,8.98,1,1999-01
Global Solar Radiation,2000,18.04,January,8.64,1,2000-01
Global Solar Radiation,2001,18.14,January,8.85,1,2001-01
Global Solar Radiation,2002,17.95,January,7.8,1,2002-01
Global Solar Radiation,2003,17.77,January,7.67,1,2003-01
Global Solar Radiation,2004,18.4,January,7.24,1,2004-01
Global Solar Radiation,2005,18.11,January,8.16,1,2005-01
Global Solar Radiation,2006,18.34,January,7.68,1,2006-01
Global Solar Radiation,2007,18.28,January,8.81,1,2007-01
Global Solar Radiation,2008,18.42,January,8.66,1,2008-01
Global Solar Radiation,2009,17.95,January,8.05,1,2009-01
Global Solar Radiation,2010,18.03,January,6.92,1,2010-01
Global Solar Radiation,2011,17.67,January,7.45,1,2011-01
Global Solar Radiation,2012,17.92,January,7.13,1,2012-01
Global Solar Radiation,2013,18.34,January,7.59,1,2013-01
Global Solar Radiation,2014,18.18,January,7.98,1,2014-01
Global Solar Radiation,2015,17.75,January,7.65,1,2015-01
Global Solar Radiation,2016,18.51,January,7.78,1,2016-01
Global Solar Radiation,2017,18.65,January,9.92,1,2017-01
Global Solar Radiation,2018,18.19,January,6.9,1,2018-01
Global Solar Radiation,2019,17.85,January,8.1,1,2019-01
Global Solar Radiation,2020,18.41,January,7.31,1,2020-01
