-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2025 in LST
Location: Latitude  36.91   Longitude 34.89 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 231.67 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,1981,14.37,16.37,22.62,29.12,36.76,40.48,41.53,41.94,38.79,33.93,25.29,17.72,41.94
T2M_MAX,1982,17.54,16.49,20.17,26.74,33.95,40.52,40.13,41.94,40.12,30.72,25.84,18.34,41.94
T2M_MAX,1983,14.27,18.63,24.13,30.8,31.67,37.57,39.87,40.74,38.49,31.1,28.41,19.17,40.74
T2M_MAX,1984,16.29,18.18,22.54,26.93,33.68,39.56,41.26,39.65,37.78,36.46,21.36,17.49,41.26
T2M_MAX,1985,16.81,17.81,22.97,29.28,34.39,37.97,41.89,43.09,38.75,34.01,25.6,21.83,43.09
T2M_MAX,1986,15.67,17.64,25.98,30.12,31.73,37.93,43.05,41.14,39.59,30.43,21.82,20.24,43.05
T2M_MAX,1987,17.68,19.44,20.34,26.42,35.83,40.92,44.25,44.82,39.6,36.38,22.94,18.95,44.82
T2M_MAX,1988,17.42,16.84,19.03,28.29,37.53,38.39,42.12,41.19,40.95,34.06,21.09,17.32,42.12
T2M_MAX,1989,15.34,20.18,25.19,34.73,39.19,37.77,43.38,40.55,37.61,30.02,27.34,19.89,43.38
T2M_MAX,1990,16.88,17.93,23.62,33.04,38.32,40.52,40.97,41.52,38.48,34.98,28.19,21.59,41.52
T2M_MAX,1991,18.33,19.32,28.36,30.77,31.41,40.62,40.44,40.49,38.07,37.21,24.13,16.93,40.62
T2M_MAX,1992,13.46,15.5,21.93,29.88,33.11,36.73,41.96,40.85,40.96,35.92,31.34,16.69,41.96
T2M_MAX,1993,17.45,17.31,24.24,30.61,34.36,40.59,42.57,43.05,40.14,35.88,27.07,19.96,43.05
T2M_MAX,1994,19.32,20.33,22.12,32.28,37.73,39.47,41.68,44.49,41.45,37.18,28.14,15.83,44.49
T2M_MAX,1995,17.48,19.72,22.42,27.2,38.52,41.64,40.26,42.05,38.96,31.99,25.77,17.87,42.05
T2M_MAX,1996,16.48,18.92,20.76,26.54,34.92,42.66,41.96,42.66,37.03,34.42,25.23,19.44,42.66
T2M_MAX,1997,18.6,20.61,19.89,30.06,35.68,40.06,41.43,38.44,37.24,34.63,24.96,18.17,41.43
T2M_MAX,1998,16.77,19.89,19.86,32.69,32.99,39.85,45.8,43.95,39.78,35.53,27.02,20.0,45.8
T2M_MAX,1999,17.13,18.91,23.3,29.69,36.8,37.85,42.95,42.46,37.96,36.65,26.65,20.17,42.95
T2M_MAX,2000,18.85,15.84,23.91,30.12,32.54,39.43,44.91,42.45,38.43,33.28,27.76,19.81,44.91
T2M_MAX,2001,18.68,20.11,26.29,33.64,35.48,38.75,41.02,41.83,38.21,35.58,24.48,17.16,41.83
T2M_MAX,2002,18.2,19.02,24.11,24.74,32.65,40.08,43.99,43.62,37.48,35.82,25.6,18.18,43.99
T2M_MAX,2003,18.04,15.72,20.67,26.69,35.68,38.7,42.09,42.45,39.34,35.68,27.88,19.23,42.45
T2M_MAX,2004,14.2,21.13,26.32,29.22,32.01,38.79,43.42,40.18,38.51,35.85,28.53,18.52,43.42
T2M_MAX,2005,16.69,17.8,22.82,30.12,34.78,37.12,43.05,41.49,37.34,30.78,23.47,23.95,43.05
T2M_MAX,2006,16.42,19.04,21.53,28.68,37.42,39.95,40.96,42.44,40.74,31.86,22.06,20.34,42.44
T2M_MAX,2007,18.24,19.84,23.81,26.7,37.0,43.41,44.7,41.18,41.33,35.43,28.61,17.47,44.7
T2M_MAX,2008,16.87,19.84,28.29,35.44,35.19,42.68,41.85,44.22,40.69,32.04,27.94,21.86,44.22
T2M_MAX,2009,16.76,18.05,24.72,27.06,35.4,41.42,41.91,41.75,38.23,34.64,25.14,18.75,41.91
T2M_MAX,2010,19.91,19.84,24.54,28.98,34.53,39.29,44.79,45.81,39.14,32.3,29.11,27.06,45.81
T2M_MAX,2011,16.3,17.96,23.05,27.55,31.33,38.96,43.76,42.32,39.06,32.28,22.35,18.13,43.76
T2M_MAX,2012,15.42,15.79,22.2,31.64,31.21,43.83,44.41,40.92,39.42,36.77,28.43,20.17,44.41
T2M_MAX,2013,16.55,19.9,25.01,33.63,34.42,39.54,40.6,40.69,39.7,33.36,27.24,20.53,40.69
T2M_MAX,2014,19.62,23.0,27.13,33.1,33.31,42.85,42.71,42.01,35.31,32.39,24.96,21.46,42.85
T2M_MAX,2015,17.5,17.91,24.3,28.35,36.54,35.99,42.22,44.26,40.88,32.58,26.02,21.24,44.26
T2M_MAX,2016,17.21,26.32,23.99,32.05,33.53,41.76,41.96,42.56,38.73,34.33,25.43,18.69,42.56
T2M_MAX,2017,15.16,21.09,22.73,30.81,33.05,42.59,44.05,42.72,39.54,31.66,24.6,19.71,44.05
T2M_MAX,2018,18.34,18.98,24.98,30.47,35.72,38.84,40.62,40.77,40.99,34.61,28.94,19.61,40.99
T2M_MAX,2019,14.91,17.64,22.47,27.72,40.03,40.4,39.62,42.27,39.05,36.2,28.48,20.71,42.27
T2M_MAX,2020,14.48,17.7,22.7,26.69,40.32,38.86,43.28,42.61,44.47,38.0,26.6,20.02,44.47
T2M_MAX,2021,20.07,20.92,21.93,33.03,37.28,41.44,42.15,43.93,36.86,33.75,29.62,19.99,43.93
T2M_MAX,2022,17.23,19.51,21.61,32.14,37.0,38.98,42.49,40.61,39.25,39.14,29.16,22.21,42.49
T2M_MAX,2023,18.85,26.74,25.88,30.74,34.37,39.07,44.91,46.14,38.44,32.43,30.57,21.96,46.14
T2M_MAX,2024,20.36,21.4,29.0,35.07,35.51,44.27,43.27,42.63,39.01,34.71,28.23,19.14,44.27
T2M_MAX,2025,19.28,19.76,29.93,32.97,37.27,42.54,45.68,47.23,39.93,33.35,-999.0,-999.0,-999.0
T2M_MIN,1981,0.4,1.25,3.47,2.41,7.65,14.24,20.73,21.55,18.39,14.74,2.46,4.2,0.4
T2M_MIN,1982,-1.44,-2.29,-0.69,7.55,9.91,14.27,19.5,20.23,19.38,11.54,3.53,1.43,-2.29
T2M_MIN,1983,-2.87,-3.5,-2.87,7.15,11.27,15.66,19.3,19.92,14.91,11.64,7.05,2.46,-3.5
T2M_MIN,1984,2.95,3.85,5.05,6.26,8.67,15.34,20.17,18.52,18.62,8.66,4.18,1.06,1.06
T2M_MIN,1985,1.4,-5.53,-3.19,7.32,9.91,15.88,20.04,21.17,18.43,8.37,6.64,-0.86,-5.53
T2M_MIN,1986,-1.07,2.98,1.37,10.02,9.66,17.23,20.53,22.43,19.5,13.04,5.14,1.26,-1.07
T2M_MIN,1987,0.09,0.81,-1.87,5.38,9.51,15.17,18.96,17.82,18.57,7.06,5.31,-1.83,-1.87
T2M_MIN,1988,1.11,0.1,-1.17,6.41,10.18,16.04,21.86,20.84,17.06,10.82,-1.14,-0.85,-1.17
T2M_MIN,1989,-3.44,-1.33,4.37,9.52,12.58,17.13,22.07,21.87,17.07,12.05,1.73,-0.16,-3.44
T2M_MIN,1990,-1.85,1.45,0.51,5.55,6.96,13.59,20.92,21.57,17.04,11.36,4.57,0.89,-1.85
T2M_MIN,1991,-1.04,-3.48,1.23,7.22,11.23,12.58,20.58,21.01,16.98,12.63,8.71,0.79,-3.48
T2M_MIN,1992,-2.4,-3.16,-0.31,6.28,9.4,15.17,17.82,20.7,12.45,11.74,-0.52,-2.33,-3.16
T2M_MIN,1993,-1.61,-4.26,1.78,6.16,9.47,15.77,21.63,22.52,14.6,14.88,1.52,4.63,-4.26
T2M_MIN,1994,3.86,-0.64,1.95,7.9,10.26,15.68,20.2,20.16,21.65,14.9,1.83,-0.79,-0.79
T2M_MIN,1995,-0.87,1.09,2.48,4.66,8.74,17.38,20.11,22.1,15.22,11.26,0.05,0.27,-0.87
T2M_MIN,1996,-0.46,-0.67,3.74,4.89,13.7,15.87,22.23,23.03,17.97,7.66,9.69,5.83,-0.67
T2M_MIN,1997,-1.38,-3.44,-1.29,-0.22,10.12,14.27,21.7,20.91,15.28,12.43,7.95,1.03,-3.44
T2M_MIN,1998,-0.28,-1.16,0.79,5.85,11.4,16.35,21.27,23.93,17.86,11.47,10.55,1.63,-1.16
T2M_MIN,1999,2.46,-1.02,2.27,7.5,12.13,18.59,22.69,20.61,18.03,12.66,2.64,5.17,-1.02
T2M_MIN,2000,-4.32,-0.86,-0.51,5.0,9.99,15.78,20.92,20.74,15.22,9.2,8.41,1.36,-4.32
T2M_MIN,2001,1.87,-1.11,7.15,8.83,11.84,15.96,21.82,21.36,18.63,9.69,0.61,-1.42,-1.42
T2M_MIN,2002,-2.03,1.39,4.95,6.43,11.71,15.56,22.61,21.31,17.99,11.43,7.2,-2.4,-2.4
T2M_MIN,2003,2.59,-1.32,0.75,6.87,13.5,15.07,21.68,22.97,17.39,6.23,5.98,0.28,-1.32
T2M_MIN,2004,-3.57,-3.58,0.21,3.22,11.39,16.32,21.04,22.21,15.96,15.89,1.63,-1.85,-3.58
T2M_MIN,2005,-0.21,-2.32,2.56,4.05,8.51,17.0,22.65,23.07,16.35,8.39,3.74,-1.1,-2.32
T2M_MIN,2006,-1.42,-3.04,2.51,6.36,11.73,16.58,20.23,23.79,15.91,11.76,4.02,-1.47,-3.04
T2M_MIN,2007,-1.13,-0.8,3.83,5.52,11.47,16.85,21.52,23.5,18.98,11.91,5.69,0.2,-1.13
T2M_MIN,2008,-1.4,-2.16,5.62,6.71,11.32,16.83,22.14,23.63,15.57,13.79,6.92,-1.94,-2.16
T2M_MIN,2009,-2.85,1.43,1.18,7.66,11.09,17.99,22.14,21.41,12.78,14.7,6.99,3.85,-2.85
T2M_MIN,2010,-2.51,-0.55,2.7,7.31,11.13,18.37,21.31,23.42,21.63,11.35,11.13,4.56,-2.51
T2M_MIN,2011,0.55,-1.6,2.01,3.82,10.31,17.37,19.63,22.61,18.83,8.59,3.11,2.28,-1.6
T2M_MIN,2012,-4.56,-3.62,-1.24,7.49,13.86,15.9,20.74,22.94,20.14,13.9,7.46,3.77,-4.56
T2M_MIN,2013,-0.5,2.76,1.05,9.29,13.22,17.59,22.42,21.79,15.69,9.92,5.06,-0.22,-0.5
T2M_MIN,2014,3.93,-0.29,3.07,5.4,12.39,16.27,23.18,22.7,13.54,9.55,3.83,2.11,-0.29
T2M_MIN,2015,-3.92,0.23,2.97,6.31,13.15,16.17,20.78,22.31,20.2,14.6,8.82,1.0,-3.92
T2M_MIN,2016,-4.31,2.18,3.74,9.39,11.02,17.4,22.91,22.12,14.23,13.45,4.72,-1.17,-4.31
T2M_MIN,2017,-3.53,-3.35,4.59,6.39,11.51,15.5,23.87,23.73,19.5,13.03,4.03,2.83,-3.53
T2M_MIN,2018,1.79,4.31,6.48,8.56,14.65,18.05,21.44,22.06,20.93,8.98,5.6,0.18,0.18
T2M_MIN,2019,-1.16,2.52,0.98,6.19,10.09,18.05,20.7,22.52,16.75,14.01,8.82,5.06,-1.16
T2M_MIN,2020,0.05,-3.45,2.08,6.45,11.49,14.73,21.85,23.29,21.84,16.71,7.04,3.32,-3.45
T2M_MIN,2021,-1.67,-1.45,2.55,5.81,14.02,17.36,22.62,23.19,15.49,13.91,7.93,-1.82,-1.82
