Tarih,2m Bağıl Nem (%),2m Hava Sıcaklığı(°C),2m Rüzgâr Hızı (m/s),Küresel Güneş Radyasyonu (MJ/m2/gün),Toplam Yağış Miktarı (mm),Tmax_at 2 Meters(°C),Tmin_at 2 Meters(°C),J(Day of Year),ET0_FAO56_mm,Water_Balance_mm,SPEI_1,Drought_Class
1981-01-15,82.24,1.32,3.5,7.75,174.17,14.37,0.4,15,1.0972028957781654,173.07279710422182,4.331872871973926,Extremely Wet
1981-02-15,83.43,1.11,2.46,11.2,88.69,16.37,1.25,46,1.256132744558402,87.4338672554416,1.7457431821029175,Severely Wet
1981-03-15,76.62,5.94,2.54,15.57,24.21,22.62,3.47,74,2.3482523845781316,21.86174761542187,-0.23440773440511023,Normal
1981-04-15,66.2,8.7,2.03,18.91,26.42,29.12,2.41,105,3.6644602175718743,22.755539782428126,-0.2074169433740853,Normal
1981-05-15,61.53,12.27,2.15,22.75,26.41,36.76,7.65,135,5.601238484534282,20.80876151546572,-0.2662058736500376,Normal
1981-06-15,52.47,19.13,2.0,20.09,37.54,40.48,14.24,166,6.501504712341349,31.038495287658648,0.04271225826098472,Normal
1981-07-15,41.12,22.38,2.27,23.16,6.83,41.53,20.73,196,8.35665890889113,-1.5266589088911307,-0.9406922783397766,Normal
1981-08-15,37.1,21.57,2.4,22.98,7.08,41.94,21.55,227,8.962994312698976,-1.882994312698976,-0.951452916859745,Normal
1981-09-15,31.95,19.63,1.89,19.22,1.79,38.79,18.39,258,6.923131923706857,-5.133131923706857,-1.0496007730606083,Moderately Dry
1981-10-15,39.89,15.35,1.73,14.06,11.73,33.93,14.74,288,4.753001217022291,6.976998782977709,-0.6838982984491557,Normal
1981-11-15,68.8,3.88,2.56,9.39,46.89,25.29,2.46,319,2.3679683522146457,44.522031647785354,0.4498889215723094,Normal
1981-12-15,80.41,4.36,3.24,7.03,121.38,17.72,4.2,349,1.2956205628302624,120.08437943716973,2.7317253644090504,Extremely Wet
1982-01-15,82.72,0.91,2.25,7.75,125.68,17.54,-1.44,15,1.0205161615508136,124.65948383844919,2.8698846495297397,Extremely Wet
1982-02-15,77.98,-0.99,2.06,11.2,51.01,16.49,-2.29,46,1.3323031810511567,49.67769681894884,0.6055800166586603,Normal
1982-03-15,76.13,2.27,2.47,15.57,43.82,20.17,-0.69,74,2.0678130141673132,41.75218698583269,0.3662449814944133,Normal
1982-04-15,71.41,9.64,2.63,18.91,25.4,26.74,7.55,105,3.5178488674591897,21.88215113254081,-0.2337915877356895,Normal
1982-05-15,60.96,14.05,1.87,22.75,39.47,33.95,9.91,135,5.102763768643128,34.36723623135687,0.14323378275443707,Normal
1982-06-15,54.3,18.1,1.79,20.09,17.32,40.52,14.27,166,6.179335058828308,11.140664941171693,-0.5581636507903143,Normal
1982-07-15,46.17,19.86,2.31,23.16,14.03,40.13,19.5,196,7.876771221496614,6.153228778503386,-0.7087745558937314,Normal
1982-08-15,37.88,20.96,2.25,22.98,9.16,41.94,20.23,227,8.603537457420293,0.5564625425797072,-0.8777860481618822,Normal
1982-09-15,39.98,18.67,1.87,19.22,1.89,40.12,19.38,258,6.893071411591685,-5.0030714115916854,-1.045673197687413,Moderately Dry
1982-10-15,58.13,12.05,1.94,14.06,40.13,30.72,11.54,288,3.6843560997855627,36.44564390021444,0.20599766583400494,Normal
1982-11-15,69.22,3.6,2.38,9.39,21.47,25.84,3.53,319,2.347509457571182,19.122490542428817,-0.3171279885835011,Normal
1982-12-15,74.44,1.29,2.34,7.03,76.83,18.34,1.43,349,1.3788342419705082,75.45116575802949,1.3838888226189916,Moderately Wet
1983-01-15,80.82,-2.63,2.28,7.75,79.52,14.27,-2.87,15,0.953306054460513,78.56669394553948,1.4779717351399304,Moderately Wet
1983-02-15,79.6,-0.72,2.62,11.2,72.92,18.63,-3.5,46,1.450773922294002,71.469226077706,1.2636419623564479,Moderately Wet
1983-03-15,77.76,3.68,2.24,15.57,75.22,24.13,-2.87,74,2.1956785122616456,73.02432148773835,1.310602829541129,Moderately Wet
1983-04-15,68.32,9.58,2.16,18.91,32.32,30.8,7.15,105,3.9067975695984316,28.41320243040157,-0.03656649749585786,Normal
1983-05-15,60.6,14.38,1.9,22.75,37.09,31.67,11.27,135,4.921320358639516,32.168679641360484,0.076841635137798,Normal
1983-06-15,52.67,17.76,1.89,20.09,18.64,37.57,15.66,166,6.006127932534189,12.633872067465813,-0.5130716898181841,Normal
1983-07-15,41.75,21.61,2.53,23.16,0.44,39.87,19.3,196,8.275666767899857,-7.835666767899856,-1.1312120871069151,Moderately Dry
1983-08-15,37.55,20.57,2.23,22.98,4.91,40.74,19.92,227,8.317294077497767,-3.4072940774977667,-0.9974838152487174,Normal
1983-09-15,33.81,18.35,1.86,19.22,3.75,38.49,14.91,258,6.617394326682398,-2.8673943266823976,-0.981179889246804,Normal
1983-10-15,58.2,11.24,2.03,14.06,28.36,31.1,11.64,288,3.8371423986756876,24.52285760132431,-0.15404737078652458,Normal
1983-11-15,74.35,7.56,2.38,9.39,84.13,28.41,7.05,319,2.28337508260173,81.84662491739826,1.5770192930908458,Severely Wet
1983-12-15,79.35,2.97,1.9,7.03,46.28,19.17,2.46,349,1.1177968446348017,45.1622031553652,0.4692208602745455,Normal
1984-01-15,84.14,1.94,2.25,7.33,90.4,16.29,2.95,15,0.9737525575948508,89.42624744240516,1.805909201973968,Severely Wet
1984-02-15,74.28,3.39,2.16,12.8,46.27,18.18,3.85,46,1.7485191722023896,44.52148082779761,0.4498722878763186,Normal
1984-03-15,73.09,5.36,2.78,14.45,32.37,22.54,5.05,75,2.549342789919777,29.82065721008022,0.005935908819879901,Normal
1984-04-15,70.11,8.11,2.52,17.13,67.66,26.93,6.26,106,3.389860548239463,64.27013945176053,1.0462435000428034,Moderately Wet
1984-05-15,55.73,15.28,1.97,22.75,12.03,33.68,8.67,136,5.37501359860843,6.654986401391569,-0.6936224482253903,Normal
1984-06-15,46.14,18.86,2.32,26.93,4.22,39.56,15.34,167,8.026700390532026,-3.8067003905320265,-1.009545111744175,Moderately Dry
1984-07-15,36.79,21.62,2.78,25.72,2.04,41.26,20.17,197,9.735402079583036,-7.695402079583036,-1.1269763653909015,Moderately Dry
1984-08-15,38.73,19.35,2.44,23.95,9.61,39.65,18.52,228,8.418296025520041,1.1917039744799585,-0.858602988189341,Normal
1984-09-15,30.22,19.8,1.68,19.44,0.05,37.78,18.62,259,6.402353476308345,-6.352353476308346,-1.0864189007658582,Moderately Dry
1984-10-15,34.76,14.06,1.67,13.31,0.88,36.46,8.66,289,5.11062153934641,-4.23062153934641,-1.0223467087637657,Moderately Dry
1984-11-15,75.84,5.82,1.91,8.7,94.85,21.36,4.18,320,1.4975757746179903,93.35242422538201,1.92447213082032,Severely Wet
1984-12-15,78.37,-0.15,1.45,7.32,39.68,17.49,1.06,350,0.9558303302295781,38.72416966977042,0.2748047276713012,Normal
1985-01-15,82.98,2.35,2.54,7.68,101.63,16.81,1.4,15,1.0606273583517998,100.5693726416482,2.1424099845806377,Extremely Wet
1985-02-15,79.93,-2.53,3.43,8.5,51.73,17.81,-5.53,46,1.4014271419701276,50.32857285802987,0.6252352114639359,Normal
1985-03-15,70.46,4.2,2.11,15.0,52.24,22.97,-3.19,74,2.3763679650555667,49.86363203494444,0.6111948997886559,Normal
1985-04-15,65.72,10.34,2.25,18.89,27.81,29.28,7.32,105,3.9463556746107855,23.863644325389213,-0.173954333984958,Normal
1985-05-15,58.56,15.89,2.03,21.23,36.2,34.39,9.91,135,5.241177916831849,30.958822083168155,0.040306281913734,Normal
1985-06-15,45.6,19.4,1.97,27.77,8.72,37.97,15.88,166,7.418567298707758,1.3014327012922422,-0.8552893933237573,Normal
1985-07-15,35.69,20.18,2.65,24.95,2.27,41.89,20.04,196,9.896412482008628,-7.626412482008629,-1.1248930132647779,Moderately Dry
1985-08-15,28.77,24.06,2.0,25.27,0.12,43.09,21.17,227,8.901672405324806,-8.781672405324807,-1.1597796237406632,Moderately Dry
1985-09-15,32.69,18.26,1.91,19.97,3.03,38.75,18.43,258,7.129466207297772,-4.0994662072977714,-1.0183860719506388,Moderately Dry
1985-10-15,58.47,9.97,1.97,12.32,79.41,34.01,8.37,288,3.9834389529016545,75.42656104709835,1.3831458080394996,Moderately Wet
1985-11-15,70.11,8.7,2.14,7.74,80.45,25.6,6.64,319,2.0897186554702527,78.36028134452975,1.4717384746732551,Moderately Wet
1985-12-15,79.79,1.63,1.93,7.06,35.37,21.83,-0.86,349,1.1906810369555567,34.17931896304444,0.13755904548623007,Normal
1986-01-15,80.52,1.28,2.63,8.64,73.35,15.67,-1.07,15,1.1034354380457392,72.24656456195426,1.2871160778871242,Moderately Wet
